what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318424515990
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318424516106
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318424519801
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318424535541
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318424539497
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318424848627
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318424856776
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318424877258
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318424883948
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318424946042
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318424946965
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425005895
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318425005925
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318425008210
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318425011021
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318425011022
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318425012101
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425013360
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425015058
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1318425015064
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425018824
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425029688
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318425030045
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318425030146
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425033331
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425036690
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425042595
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425042702
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425045076
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318425045638
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1318425046614
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318425047021
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425048933
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425054338
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318425067315
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425069374
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425069465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425075669
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425161707
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318425163197
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1318425166046
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425171669
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425176626
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318425178285
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425184686
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425188372
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318425188421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425197365
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425208443
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318425210553
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318425212981
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318425214347
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425218604
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425218735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425221949
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425222048
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425223575
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425223863
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425224072
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425224505
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318425231304
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425234796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425234933
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425234937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425277576
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318425278779
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425287240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425402697
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318425409422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425418469
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425418559
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318425425201
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425490556
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425490715
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318425525112
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425538615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425553916
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318425559573
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425562832
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425562938
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425570952
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425601246
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425603257
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425612585
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1318425613442
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318425613874
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425624756
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425624872
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425632786
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425632880
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425635319
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425652543
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425652984
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425653381
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1318425662088
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318425662839
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425672717
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425672905
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425712268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425712392
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318425714554
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425717085
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425717191
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318425722287
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318425725592
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.rename.element",1318425731538
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425741337
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425745079
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425749516
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425749600
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425797358
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425800103
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318425804523
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318425804737
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318425816458
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318425817623
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318425819906
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425832057
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425878623
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318425890589
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318425907613
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425914690
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425915887
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425916832
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425917235
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425917739
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318425918088
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425928279
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318425962353
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318425997696
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318426058353
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318426065204
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1318426067073
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318426071820
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318426073532
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318426087489
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318426094520
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318426099437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318426112855
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426117196
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426117304
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318426118491
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426139854
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426141031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426151142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426158661
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426159604
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426183155
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1318426183771
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318426184661
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426186055
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426311382
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318426321995
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318426324411
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318426326347
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426337414
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318426884044
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1318426890366
